"Case","Title","Milestone","Condition"
43211,"Migrate to .Net Core 2.0","1.1","Green"
34551,"Interface / API","1.1","Yellow"
44055,"Barcode Reading","1.1","Yellow"
44475,"Code Refactor: Remove Delete buttons from Instance and User pages","1.1","Green"
44478,"Rename Sub System to Subsystem","1.1","Green"
44490,"Refactor: qedID - Synchronise generic search ","1.1","Green"
44782,"Inspector User Accounts","1.1","Green"
44784,"Caching","1.1","Green"
44786,"Error Logging","1.1","Yellow"
44787,"Import Speed Up","1.1","Yellow"
44788,"Hide Buttons for items with users don't have permissions","1.1","Green"
44790,"Expanding Paperless ITRs/Certs","1.1","Yellow"
44857,"Add Additional Fields","1.1","Red"
44937,"Move Saved Searches to MongoDB","1.1","Green"
42543,"Threaded and Queued Imports","1.2","Yellow"
34555,"Auto allocation of data","Backlog","Green"
39698,"Equipment Type to Tag Pres Work List","Backlog","Green"
40650,"Clear recent/saved searches","Backlog","Red"
41101,"Schemas - Primary Handover / Secondary Handover / Handovers / DMCC","Backlog","Yellow"
41433,"Searching with CSVs - Peformance","Backlog","Red"
41443,"Change to Punch List Item entity","Backlog","Red"
41564,"Attachment Edit Functionality ","Backlog","Red"
42054,"Implement 'Assume' logins","Backlog","Green"
42491,"Optimise attachment download","Backlog","Green"
42533,"Extra Validation When Importing","Backlog","Green"
42542,"Import Improvements","Backlog","Green"
42544,"New Columns (For changing Names)","Backlog","Green"
42567,"System/Sub System ITR Counts","Backlog","Green"
43535,"Procedure Popup shows invalid Procedure","Backlog","Green"
43976,"Aliasing ","Backlog","Green"
44054,"Barcoding - Parent Case","Backlog","Green"
44093,"AutoMapper 1.1.0 Issues","Backlog","Green"
44094,"jQuery 3 Update","Backlog","Yellow"
44168,"Data Change Logging - some history records would be really useful if they are displayed in the associated entities' history","Backlog","Green"
44172,"Summary Reports - include count of records returned in report PDF version(s)","Backlog","Green"
44205,"Extending the Data Change Logger","Backlog","Green"
44221,"Make current level more obvious to the user","Backlog","Green"
44755,"Remove Dependency on Enum Type in SearchFilterBuilder","Backlog","Red"
44783,"Inspector Permissions","Backlog","Green"
44791,"qedID : Single Sign On / Federation","Backlog","Red"
44792,"Context Sensitive Help","Backlog","Yellow"
44794,"Clean Energy","Backlog","Red"
44795,"Construction Module","Backlog","Red"
44796,"Operations Module","Backlog","Red"
44798,"Piping Case","Backlog","Red"
44799,"Ex Rated","Backlog","Red"
44858,"Custom Fields","Backlog","Yellow"
44949,"Direct Downloads from Blob Storage","Backlog","Green"
36559,"Drop Down instead of Popup","Backlog","Green"
39537,"Future Preservation Conflicts","Backlog","Red"
40425,"Search Validation","Backlog","Green"
41084,"Tree View - Dave Hickey Edition","Backlog","Yellow"
43908,"Adding Resource Page to qedid.","Backlog","Red"
44859,"Global Saved Search","Backlog","Yellow"
43235,"Digital Certificate Edit OnScreen Fields Have No Max Length Character Error Shown Until After Save","Backlog","Green"
41099,"Allow interaction with ""cloud"" hosting services.","Backlog","Yellow"
41229,"Octopus Deploy - E-mail when Seed Data SQL fails","Backlog","Green"
44190,"Buttons should be at the bottom of the Digital Document Preview page like the other pages throughout the application","Backlog","Red"
44710,"Multi-Tenancy (multiple Level As) Feasibility","Backlog","Red"
44793,"Offline Mode","Backlog","Red"
34560,"User Access & Management","Phase 9",
40586,"qedID - C - Self Service Tools (Password Reset and Change)","Phase 9","Green"
